reality,child_num,income_type,family_type,house_type,occyp_type,month_ap,family-child,family_size ,income_total,DAYS_EMPLOYED,begin_month,new_age,aver_dep,year_income,y_train
0.0,0.0,0.0,1.0,2.0,12.0,0.0,3.0,1.0,0.15555168119812407,1.0563366381902153,-1.2164278573202418,-0.49089724772900567,0.006480837442069513,-0.41360248383600456,1
1.0,1.0,0.0,0.0,1.0,8.0,3.0,3.0,2.0,0.6031829967860808,-0.27834822731426495,-1.2768859587121528,-1.0978295220952126,-0.2516285079585674,0.30775415197223177,1
1.0,0.0,4.0,1.0,1.0,10.0,3.0,3.0,1.0,2.617523916931886,0.9405151367658758,-0.24909823504966763,0.7229673010034079,1.7100025170862732,-0.08298069242389625,2
1.0,0.0,0.0,1.0,1.0,15.0,9.0,3.0,1.0,0.15555168119812407,-0.0458628862734088,0.6577732858289957,-0.2307834158577742,0.006480837442069513,-0.03489025003668049,0
1.0,0.0,2.0,1.0,1.0,10.0,10.0,3.0,1.0,-0.2920796343898326,-0.0403876880242582,-0.007265829482024071,-0.2307834158577742,-0.3032503770386948,-0.17916157719832776,2
1.0,2.0,4.0,1.0,1.0,6.0,10.0,3.0,3.0,0.8269986545800591,1.1772121687676171,-0.4909306406173112,-0.5776018583527495,-0.45811598427907696,-0.3511810896173985,1
0.0,0.0,4.0,2.0,1.0,3.0,5.0,2.0,0.0,1.2746299701680157,-0.09387616322749866,0.8996056913966393,0.37614885850843255,2.9489273750093306,0.3257880678674377,2
1.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,1.0,0.8269986545800591,1.3557878655091442,1.62510290809957,-0.2307834158577742,0.471077659163216,-0.3749698284516079,0
1.0,1.0,0.0,1.0,1.0,12.0,0.0,3.0,2.0,-0.06826397659585427,-0.3095147404248145,0.7182313872209066,-0.2307834158577742,-0.5613597224393317,0.037245413544143145,2
1.0,0.0,4.0,1.0,1.0,11.0,7.0,3.0,1.0,-0.8292372130953806,-0.3760594576067987,-1.2768859587121528,-0.057374194610286554,-0.674927834415612,-0.131071134811112,2
1.0,0.0,4.0,2.0,1.0,8.0,1.0,2.0,0.0,0.06602541808053274,0.005098574353300612,0.8391475900047284,0.7229673010034079,1.276378816813203,-0.1671389666015238,2
1.0,1.0,0.0,1.0,1.0,10.0,3.0,3.0,2.0,-0.5158952921838109,-0.8886222475465123,1.504186705315748,-1.0111249114714687,-0.7678471987598412,-0.6841112222640932,2
1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,-0.2920796343898326,-0.016381049547213273,2.0483096178429463,-0.9244203008477248,-0.6646034605995865,-0.17916157719832776,0
0.0,0.0,4.0,1.0,1.0,15.0,10.0,3.0,1.0,-0.5158952921838109,0.11502370843240108,0.8996056913966393,-1.4446479645901877,-0.45811598427907696,-0.323432904359975,2
1.0,0.0,1.0,3.0,1.0,12.0,0.0,2.0,0.0,-0.2920796343898326,-0.9269486352905665,0.8996056913966393,1.67671801786459,0.7808088736439802,-0.6841112222640932,2
1.0,2.0,4.0,1.0,5.0,4.0,3.0,3.0,3.0,-0.2920796343898326,0.7813132184444199,2.0483096178429463,-0.7510110796002372,-0.8452800023800323,-0.4545915708973748,0
1.0,0.0,4.0,1.0,1.0,8.0,7.0,3.0,1.0,-0.06826397659585427,0.9906342592004082,-1.4582602628878854,0.8096719116271517,-0.14838476979831264,-0.4436590103280144,1
0.0,0.0,0.0,0.0,5.0,15.0,8.0,3.0,1.0,0.8269986545800591,-0.5125182447394752,-0.7327630461849547,-1.7047617964614192,0.471077659163216,1.4799586851606157,2
1.0,0.0,1.0,1.0,1.0,12.0,0.0,3.0,1.0,0.2898410758745111,-0.9269486352905665,0.6577732858289957,1.67671801786459,0.0994002017862988,-0.6841112222640932,2
1.0,0.0,4.0,1.0,1.0,12.0,9.0,3.0,1.0,-0.06826397659585427,1.6131221832192224,-1.1559697559283308,-0.49089724772900567,-0.14838476979831264,-0.5037720633120341,2
0.0,0.0,4.0,1.0,1.0,12.0,10.0,3.0,1.0,-0.06826397659585427,-0.18863920984741284,0.5368570830451739,0.8963765222508955,-0.14838476979831264,0.037245413544143145,2
0.0,0.0,1.0,1.0,1.0,12.0,0.0,3.0,1.0,-0.2920796343898326,-0.9269486352905665,-1.1559697559283308,1.2431949647458709,-0.3032503770386948,-0.6841112222640932,2
0.0,0.0,0.0,0.0,1.0,8.0,9.0,3.0,1.0,-0.2920796343898326,-0.3554221718984618,-0.24909823504966763,-0.14407880523403038,-0.3032503770386948,0.15747151951218252,0
0.0,0.0,4.0,1.0,2.0,12.0,2.0,3.0,1.0,0.3793673389921024,-0.7399495566272691,-0.4909306406173112,-0.317488026481518,0.16134644468245166,2.9226719567770885,2
0.0,0.0,1.0,3.0,1.0,12.0,0.0,2.0,0.0,0.15555168119812407,-0.9269486352905665,-1.2768859587121528,1.5033087966171024,1.400271302605509,-0.6841112222640932,2
1.0,1.0,0.0,1.0,1.0,14.0,3.0,3.0,2.0,0.3793673389921024,0.6288500056603803,-1.3373440601040636,-0.49089724772900567,-0.3548722461188222,-0.323432904359975,2
0.0,1.0,4.0,1.0,1.0,8.0,3.0,3.0,2.0,-0.5158952921838109,0.4852313438941992,-0.7932211475768656,0.4628534691321764,-0.7678471987598412,-0.4436590103280144,2
1.0,0.0,2.0,1.0,1.0,12.0,8.0,3.0,1.0,2.1698926013439293,0.5471432010192098,1.8669353136672135,0.28944424788468875,1.400271302605509,0.037245413544143145,2
0.0,0.0,0.0,1.0,5.0,4.0,5.0,3.0,1.0,-0.7397109499777893,0.05226951311521345,1.2623542997481045,1.4166041859933585,-0.6129815915194591,-0.3835459573439947,2
1.0,0.0,0.0,1.0,0.0,15.0,9.0,3.0,1.0,-0.6501846868601979,-0.20632831188313017,-0.24909823504966763,-0.9244203008477248,-0.5510353486233063,-0.19719549309353365,0
0.0,0.0,0.0,1.0,1.0,10.0,7.0,3.0,1.0,0.3793673389921024,-0.8313432504784753,0.4159408802613522,-0.6643064689764934,0.16134644468245166,-0.6841112222640932,2
1.0,0.0,0.0,1.0,1.0,8.0,7.0,3.0,1.0,-0.5158952921838109,0.5269270844069615,-0.4909306406173112,-1.0111249114714687,-0.45811598427907696,-0.4436590103280144,0
1.0,0.0,4.0,1.0,1.0,8.0,6.0,3.0,1.0,-0.5158952921838109,-0.24128534685847627,-1.4582602628878854,-0.6643064689764934,-0.45811598427907696,-0.14309374540791595,0
1.0,0.0,4.0,1.0,1.0,6.0,11.0,3.0,1.0,0.15555168119812407,-0.7812241280439429,0.23456657608561948,0.8096719116271517,0.006480837442069513,-0.6841112222640932,2
1.0,1.0,4.0,1.0,1.0,8.0,6.0,3.0,2.0,0.8269986545800591,-0.24044300866629928,-0.24909823504966763,-0.317488026481518,-0.14838476979831264,0.3979237314482613,0
0.0,0.0,4.0,0.0,1.0,10.0,9.0,3.0,1.0,0.3793673389921024,0.09775577549277227,-0.3700144378334894,-0.317488026481518,0.16134644468245166,-0.08298069242389625,2
0.0,0.0,4.0,3.0,1.0,0.0,10.0,2.0,0.0,0.3793673389921024,-0.4965138190881118,-0.7327630461849547,0.9830811328746394,1.7100025170862732,1.1192803672564975,2
1.0,0.0,0.0,1.0,5.0,4.0,6.0,3.0,1.0,3.960417863695756,-0.23370430312888316,-1.09551165453642,0.20273963726094493,2.639196160528566,1.6602978441126748,2
