일시,광진구,동대문구,성동구,중랑구
20220101,3.3446878326257288,2.48010090663909,2.6476673496853538,1.7819128944813658
20220102,3.3446878326257288,2.48010090663909,2.6476673496853538,1.7819128944813658
20220103,3.3446878326257288,2.48010090663909,2.6476673496853538,1.7819128944813658
20220104,3.3446878326257288,2.48010090663909,2.6476673496853538,1.7819128944813658
20220105,2.8064714285714283,1.9937714285714283,2.1172999999999997,1.4771714285714281
20220106,2.8064714285714283,1.9937714285714283,2.1172999999999997,1.4771714285714281
20220107,2.8064714285714283,1.9937714285714283,2.1172999999999997,1.4771714285714281
20220108,2.8064714285714283,1.9937714285714283,2.1172999999999997,1.4771714285714281
20220109,2.8064714285714283,1.9937714285714283,2.1172999999999997,1.4771714285714281
20220110,3.8945714789439836,2.950514796121844,3.155742966206957,2.137907129130845
20220111,3.8945714789439836,2.950514796121844,3.155742966206957,2.137907129130845
20220112,3.8945714789439836,2.950514796121844,3.155742966206957,2.137907129130845
20220113,3.8945714789439836,2.950514796121844,3.155742966206957,2.137907129130845
20220114,3.8945714789439836,2.950514796121844,3.155742966206957,2.137907129130845
20220115,4.457911549449875,3.464295435903572,3.7159460674611005,2.4812665813828874
20220116,4.457911549449875,3.464295435903572,3.7159460674611005,2.4812665813828874
20220117,4.368756383034242,3.364485686708317,3.59474897770803,2.4525193156867706
20220118,4.368756383034242,3.364485686708317,3.59474897770803,2.4525193156867706
20220119,4.368756383034242,3.364485686708317,3.59474897770803,2.4525193156867706
20220120,4.368756383034242,3.364485686708317,3.59474897770803,2.4525193156867706
20220121,4.368756383034242,3.364485686708317,3.59474897770803,2.4525193156867706
20220122,4.588172701869696,3.5593109401791505,3.8529150407769848,2.5777466780554077
20220123,4.588172701869696,3.5593109401791505,3.8529150407769848,2.5777466780554077
20220124,4.6323211920077,3.5777210920523537,3.8317954092346582,2.624810419928994
20220125,4.6323211920077,3.5777210920523537,3.8317954092346582,2.624810419928994
20220126,4.6323211920077,3.5777210920523537,3.8317954092346582,2.624810419928994
20220127,4.6323211920077,3.5777210920523537,3.8317954092346582,2.624810419928994
20220128,4.6323211920077,3.5777210920523537,3.8317954092346582,2.624810419928994
20220129,4.764513054032387,3.6870811529324623,4.016630921465627,2.6786417134905696
20220130,4.764513054032387,3.6870811529324623,4.016630921465627,2.6786417134905696
20220131,4.733341810929249,3.633028109747048,3.9592705528195635,2.71423499674653
20220201,4.733341810929249,3.633028109747048,3.9592705528195635,2.71423499674653
20220202,4.733341810929249,3.633028109747048,3.9592705528195635,2.71423499674653
20220203,4.733341810929249,3.633028109747048,3.9592705528195635,2.71423499674653
20220204,4.733341810929249,3.633028109747048,3.9592705528195635,2.71423499674653
20220205,4.757552503082802,3.677740880303432,4.009792336918525,2.6952752262101827
20220206,4.757552503082802,3.677740880303432,4.009792336918525,2.6952752262101827
20220207,4.835981693454487,3.6807028925938328,4.075605761143615,2.7681343213983367
20220208,4.835981693454487,3.6807028925938328,4.075605761143615,2.7681343213983367
20220209,4.835981693454487,3.6807028925938328,4.075605761143615,2.7681343213983367
20220210,4.835981693454487,3.6807028925938328,4.075605761143615,2.7681343213983367
20220211,4.835981693454487,3.6807028925938328,4.075605761143615,2.7681343213983367
20220212,5.087708386779047,3.925196454619196,4.373874560347856,2.8948883018507536
20220213,5.087708386779047,3.925196454619196,4.373874560347856,2.8948883018507536
20220214,5.307779118608822,4.0483862845786405,4.5849498650189044,3.029624220987767
20220215,5.307779118608822,4.0483862845786405,4.5849498650189044,3.029624220987767
20220216,5.307779118608822,4.0483862845786405,4.5849498650189044,3.029624220987767
20220217,5.307779118608822,4.0483862845786405,4.5849498650189044,3.029624220987767
20220218,5.307779118608822,4.0483862845786405,4.5849498650189044,3.029624220987767
20220219,5.631882986171238,4.366826156215385,4.975851023647147,3.2149310597182263
20220220,5.631882986171238,4.366826156215385,4.975851023647147,3.2149310597182263
20220221,5.815375907012379,4.4856727868202455,5.148920559345477,3.3462562619918237
20220222,5.815375907012379,4.4856727868202455,5.148920559345477,3.3462562619918237
20220223,5.815375907012379,4.4856727868202455,5.148920559345477,3.3462562619918237
20220224,5.815375907012379,4.4856727868202455,5.148920559345477,3.3462562619918237
20220225,5.815375907012379,4.4856727868202455,5.148920559345477,3.3462562619918237
20220226,6.262031323105484,4.915672874308964,5.638618943803834,3.605322197156543
20220227,6.262031323105484,4.915672874308964,5.638618943803834,3.605322197156543
20220228,6.929405409668854,5.293664754804906,6.234699839602586,3.959546391144698
20220301,6.929405409668854,5.293664754804906,6.234699839602586,3.959546391144698
20220302,6.929405409668854,5.293664754804906,6.234699839602586,3.959546391144698
20220303,6.929405409668854,5.293664754804906,6.234699839602586,3.959546391144698
20220304,6.929405409668854,5.293664754804906,6.234699839602586,3.959546391144698
